 work_id | ticket_id | emp_id | start_date |  end_date  
---------+-----------+--------+------------+------------
       1 |         1 |      1 | 2015-03-03 | 2015-03-06
       2 |         2 |      2 | 2015-03-05 | 2015-03-08
       3 |         3 |      3 | 2015-03-06 | 2015-03-09
       4 |         4 |      4 | 2015-03-14 | 2015-03-17
       5 |         5 |      5 | 2015-03-17 | 2015-03-20
       6 |         6 |      6 | 2015-03-20 | 2015-03-23
       7 |         7 |      7 | 2015-03-22 | 2015-03-25
       8 |         8 |      8 | 2015-03-27 | 2015-03-30
       9 |         9 |      9 | 2015-03-03 | 2015-03-06
      10 |        10 |     10 | 2015-03-29 | 2015-04-01
      11 |        11 |     11 | 2015-03-31 | 2015-04-03
      12 |        12 |     12 | 2015-03-30 | 2015-04-02
      13 |        13 |     13 | 2015-04-02 | 2015-04-05
      14 |        14 |     14 | 2015-04-07 | 2015-04-10
      15 |        15 |     15 | 2015-04-08 | 2015-04-11
      16 |        16 |     16 | 2015-04-08 | 2015-04-11
      17 |        17 |      1 | 2015-04-11 | 2015-04-14
      18 |        18 |      2 | 2015-04-10 | 2015-04-13
      19 |        19 |      3 | 2015-04-11 | 2015-04-14
      20 |        20 |      4 | 2015-04-12 | 2015-04-15
      21 |        21 |      5 | 2015-04-13 | 2015-04-16
      22 |        22 |      6 | 2015-04-16 | 2015-04-19
      23 |        23 |      7 | 2015-04-18 | 2015-04-21
      24 |        24 |      8 | 2015-04-18 | 2015-04-21
      25 |        25 |      9 | 2015-04-20 | 2015-04-23
      26 |        26 |     10 | 2015-04-23 | 2015-04-26
      27 |        27 |     11 | 2015-04-26 | 2015-04-29
      28 |        28 |     12 | 2015-04-25 | 2015-04-28
      29 |        29 |     13 | 2015-04-28 | 2015-05-01
      30 |        30 |     14 | 2015-04-27 | 2015-04-30
      31 |         1 |     16 | 2015-03-03 | 2015-03-06
      32 |         2 |     15 | 2015-03-05 | 2015-03-08
      33 |         3 |     14 | 2015-03-06 | 2015-03-09
      34 |         4 |     13 | 2015-03-14 | 2015-03-17
      35 |         5 |     12 | 2015-03-17 | 2015-03-20
      36 |         6 |     11 | 2015-03-20 | 2015-03-23
      37 |         7 |     10 | 2015-03-22 | 2015-03-25
      38 |         8 |      9 | 2015-03-27 | 2015-03-30
      39 |         9 |      8 | 2015-03-03 | 2015-03-06
      40 |        10 |      7 | 2015-03-29 | 2015-04-01
      41 |        11 |      6 | 2015-03-31 | 2015-04-03
      42 |        12 |      5 | 2015-03-30 | 2015-04-02
      43 |        13 |      4 | 2015-04-02 | 2015-04-05
      44 |        14 |      3 | 2015-04-07 | 2015-04-10
      45 |        15 |      2 | 2015-04-08 | 2015-04-11
      46 |        16 |      1 | 2015-04-08 | 2015-04-11
      47 |        17 |     16 | 2015-04-11 | 2015-04-14
      48 |        18 |     15 | 2015-04-10 | 2015-04-13
      49 |        19 |     14 | 2015-04-11 | 2015-04-14
      50 |        20 |     13 | 2015-04-12 | 2015-04-15
      51 |        21 |     12 | 2015-04-13 | 2015-04-16
      52 |        22 |     11 | 2015-04-16 | 2015-04-19
      53 |        23 |     10 | 2015-04-18 | 2015-04-21
      54 |        24 |      9 | 2015-04-18 | 2015-04-21
      55 |        25 |      8 | 2015-04-20 | 2015-04-23
      56 |        26 |      7 | 2015-04-23 | 2015-04-26
      57 |        27 |      6 | 2015-04-26 | 2015-04-29
      58 |        28 |      5 | 2015-04-25 | 2015-04-28
      59 |        29 |      4 | 2015-04-28 | 2015-05-01
      60 |        30 |      3 | 2015-04-27 | 2015-04-30
      61 |        31 |      7 | 2015-04-28 | 2015-04-30
(61 rows)

